symbol,name,sector,cap_type,tracking_notes
HAPPSTMNDS.NS,Happiest Minds Tech,Digital IT,Small Cap,Nifty 250 Product Engineering
JBCHEPHARM.NS,JB Chemicals & Pharma,Pharma,Mid Cap,Nifty 250 India Formulations
METROPOLIS.NS,Metropolis Healthcare,Diagnostics,Mid Cap,Nifty 250 Pathology Labs
MFSL.NS,Max Financial Services,Life Insurance,Mid Cap,Nifty 250 Max Life VNB Growth
APOLLOTYRE.NS,Apollo Tyres Ltd,Auto Tyres,Mid Cap,Nifty 250 Commercial Vehicle Tyres
CENTURYTEX.NS,Century Textiles & Industries,Paper & Realty,Mid Cap,Nifty 250 Birla Estates
CHAMBLFERT.NS,Chambal Fertilisers,Fertilizers,Mid Cap,Nifty 250 Urea Manufacturing
ESCORTS.NS,Escorts Kubota Ltd,Agri Machinery,Mid Cap,Nifty 250 Tractor Demand
FORTIS.NS,Fortis Healthcare Ltd,Hospitals,Mid Cap,Nifty 250 Healthcare Services
IPCALAB.NS,IPCA Laboratories,Pharma,Mid Cap,Nifty 250 Anti-Malarial & Active Ingredients
